,code,concatsize,organic?,concatprod,RRP?,brand,j,price,,,#VALUE!,case size,unit size,unit,VAT code
1,2090,6x400g,organic,Gluten-free Rolled Oatflakes (Porridge Oats),1.98,Infinity,,8.90,,0,5028869020903,6,400,g,0
1,2095,6x400g,organic,Gluten-free Jumbo Oatflakes,1.98,Infinity,,8.90,,0,5028869020958,6,400,g,0
1,3002,6x500g,organic,Almond Flour,9.70,Infinity,,43.65,,0,5028869030025,6,500,g,0
1,3005,6x500g,organic,Barley Flour (Disco do not pack),1.20,Infinity Foods,l,5.40,,0,5028869030056,6,500,g,0
1,3010,12x250g,organic,Wheat Bran,0.77,Infinity,,6.95,,0,5028869030100,12,250,g,0
1,3015,6x500g,organic,Brown Rice Flour,2.35,Infinity,,10.55,,0,5028869030155,6,500,g,0
1,3020,6x500g,organic,Buckwheat Flour,2.75,Infinity,,12.35,,0,5028869030209,6,500,g,0
1,3022,6x500g,organic,Chickpea Flour,2.80,Infinity,,12.55,,0,5028869030223,6,500,g,0
1,3023,6x500g,organic,Coconut Flour,3.05,Infinity,,13.70,,0,5028869030230,6,500,g,0
1,3025,6x500g,organic,Corn Flour (maize flour),2.00,Infinity,,9.00,,0,5028869030254,6,500,g,0
1,3038,6x500g,organic,Oat Bran,1.71,Infinity,,7.70,,0,5028869030384,6,500,g,0
1,3040,6x500g,organic,Fine Oatmeal,1.34,Infinity,,6.05,,0,5028869030407,6,500,g,0
1,3045,6x500g,organic,Medium Oatmeal,1.34,Infinity,,6.05,,0,5028869030452,6,500,g,0
1,3050,6x500g,organic,Coarse Oatmeal (Pinhead),1.34,Infinity,,6.05,,0,5028869030506,6,500,g,0
1,3052,6x500g,organic,Polenta,2.30,Infinity,,10.35,,0,5028869030520,6,500,g,0
1,3053,6x500g,organic,Potato Starch,2.70,Infinity,,12.15,,0,5028869030537,6,500,g,0
1,3054,6x500g,organic,Quinoa Flour ,4.65,Infinity,,20.90,,0,5028869030544,6,500,g,0
1,3055,6x500g,organic,Rye Flour - whole,1.17,Infinity,,5.25,,0,5028869030551,6,500,g,0
1,3070,6x500g,organic,Soya Flour,2.23,Infinity,r,10.05,,0,5028869030704,6,500,g,0
1,3075,6x500g,organic,Spelt Flour - whole,2.00,Infinity,,9.00,,0,5028869030759,6,500,g,0
1,3080,6x500g,organic,Tapioca Flour,2.10,Infinity,,9.40,,0,5028869030803,6,500,g,0
1,3085,6x500g,organic,White Semolina,1.77,Infinity,,7.95,,0,5028869030858,6,500,g,0
1,3090,6x500g,organic,Teff Flour - wholegrain brown,3.75,Infinity,,16.85,,0,5028869030902,6,500,g,0
1,3095,6x500g,organic,Teff Flour - wholegrain white,3.75,Infinity,,16.85,,0,5028869030957,6,500,g,0
1,4025,6x500g,organic,Oat Muesli - gluten-free,3.49,Infinity,,15.70,,0,5028869040253,6,500,g,0
1,4027,6x275g,organic,Wild Berry Flakes - gluten-free,2.82,Infinity,,12.70,,0,5028869040277,6,275,g,0
1,4028,6x400g,organic,Gluten-free Granola Muesli,3.92,Infinity,,17.65,,0,5028869040284,6,400,g,0
1,4030,12x500g,organic,Gluten-free Muesli - Original,3.60,Infinity,,32.40,,0,5028869040307,12,500,g,0
1,4033,6x500g,organic,Bran Flakes,3.10,Infinity,,13.95,,0,5028869040338,6,500,g,0
1,4035,6x1kg,organic,Gluten-free Muesli - Original,7.05,Infinity,,31.70,,0,5028869040352,6,1,kg,0
1,4036,12x500g,organic,Cranberry & Pecan Muesli,3.07,Infinity,,27.60,,0,5028869040369,12,500,g,0
1,4039,6x1kg,organic,Cranberry & Pecan Muesli,5.99,Infinity,,26.95,,0,5028869040390,6,1,kg,0
1,4040,12x325g,organic,Fruit and Fibre,2.49,Infinity,,22.35,,0,5028869040406,12,325,g,0
1,4042,12x500g,organic,Vitality Muesli ,2.99,Infinity,,26.95,,0,5028869040420,12,500,g,0
